Occode	Level1	Level2	Level3
-1	BLANK	BLANK	BLANK
1	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	NATIONAL GOVERNMENT	"POST OFFICE - TELEGRAPHISTS, TELEPHONE OPERATORS"
2	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	NATIONAL GOVERNMENT	OTHER POST OFFICE OFFICERS AND CLERKS
3	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	NATIONAL GOVERNMENT	POSTMEN
4	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	NATIONAL GOVERNMENT	"POST OFFICE MESSENGERS, ETC"
5	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	NATIONAL GOVERNMENT	"MPs, MINISTERS OF THE CROWN & PEERS"
6	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	NATIONAL GOVERNMENT	OTHER CIVIL SERVICE OFFICERS AND CLERKS
7	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	NATIONAL GOVERNMENT	PRISON OFFICERS
8	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	NATIONAL GOVERNMENT	SENIOR OFFIALS AND OTHERS IN EAST INDIA SERVICE
9	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	NATIONAL GOVERNMENT	"OTHER CIVIL SERVICE MESSENGERS, ETC. (INC PORTERS),"
10	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	NATIONAL GOVERNMENT	"PRISON SERVICE MESSENGERS, ETC.,"
11	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	LOCAL GOVERNMENT	POLICE
12	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	LOCAL GOVERNMENT	POOR LAW SERVICE
13	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	LOCAL GOVERNMENT	"MUNICIPAL, PARISH, AND OTHER LOCAL OR COUNTY OFFICERS"
14	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	LOCAL GOVERNMENT	"MUNICIPAL, PARISH, AND  LOCAL OR COUNTY SHERIFFS AND CLERKS"
15	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	LOCAL GOVERNMENT	"MUNICIPAL, PARISH, AND OTHER LOCAL OR COUNTY WORKERS"
16	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	LOCAL GOVERNMENT	LIBRARIANS
17	PERSONS ENGAGED IN THE DEFENCE OF THE COUNTRY	ARMY (AT HOME)	ARMY OFFICERS (EFFECTIVE)
18	PERSONS ENGAGED IN THE DEFENCE OF THE COUNTRY	ARMY (AT HOME)	MILITIA & YEOMANRY OFFICERS (EFFECTIVE)
19	PERSONS ENGAGED IN THE DEFENCE OF THE COUNTRY	ARMY (AT HOME)	ARMY OFFICERS (RETIRED)
20	PERSONS ENGAGED IN THE DEFENCE OF THE COUNTRY	ARMY (AT HOME)	SOLDIERS AND NON-COMMISSIONED OFFICERS
21	PERSONS ENGAGED IN THE DEFENCE OF THE COUNTRY	NAVY AND MARINES (ASHORE AND IN PORT)	MILITIA & YEOMANRY MEN
22	PERSONS ENGAGED IN THE DEFENCE OF THE COUNTRY	NAVY AND MARINES (ASHORE AND IN PORT)	OFFICERS OF THE NAVY (EFFECTIVE)
23	PERSONS ENGAGED IN THE DEFENCE OF THE COUNTRY	NAVY AND MARINES (ASHORE AND IN PORT)	OFFICERS OF THE NAVY (RETIRED)
24	PERSONS ENGAGED IN THE DEFENCE OF THE COUNTRY	NAVY AND MARINES (ASHORE AND IN PORT)	MEN OF THE NAVY (INC COASTGUARDS)
25	PERSONS ENGAGED IN THE DEFENCE OF THE COUNTRY	NAVY AND MARINES (ASHORE AND IN PORT)	OFFICERS OF THE MARINES (EFFECTIVE)
